text	label
My new card is here, what's the process for activating it?	activate_my_card
How long will it take to get my refund	Refund_not_showing_up
I made a withdraw from the ATM this past holiday and it seems like a was charged too much. If I would have   known about these charges I wouldn't have made a withdraw.	wrong_exchange_rate_for_cash_withdrawal
My cash deposit hasn't posted to my account.	balance_not_updated_after_cheque_or_cash_deposit
Is it okay to use a bank card to top up	top_up_by_card_charge
Why is the exchange rate wrong for my cash withdrawal?	wrong_exchange_rate_for_cash_withdrawal
How do you calculate exchange rates?	exchange_rate
I had a payment reverted and would like to figure out why.	reverted_card_payment?
How come I was charged a transaction of $1?	extra_charge_on_statement
I need my card immediately.	card_delivery_estimate
With this app, will I be able to exchange currency?	exchange_via_app
I have noticed that my account was double charged for a couple of items this week. Please review and refund the double charged items back.	transaction_charged_twice
I anticipate getting a Visa card	visa_or_mastercard
What card types can I choose from?	visa_or_mastercard
I am in Austria right now. I need to change my PIN ASAP, so can I still do this from here?	change_pin
Is there a limit to the number of disposable cards I can have?	disposable_card_limits
what is the virtual card	getting_virtual_card
Are there directions to get a new passcode if I forgot mine?	passcode_forgotten
My card declined	declined_card_payment
What steps are taken to transfer money into my account?	transfer_into_account
Hello, I have a pending transaction in my account due to an ATM machine that wasn't working. In any case if the transaction goes through, after how long can I get my money back?	pending_cash_withdrawal
It's been two weeks, why has the transaction for $1.00 not been reversed?	extra_charge_on_statement
Help! I've forgot my app passcode!	passcode_forgotten
Where did the money transfer go?	transfer_not_received_by_recipient
Your exchange rate was off.  I was charged extra on my payment that I made last Saturday.	card_payment_wrong_exchange_rate
I need to change my data.	edit_personal_details
Help me set up a new PIN?	change_pin
Help me close my account.	terminate_account
Where can I see the refund in my account	Refund_not_showing_up
How can I change my account details?	edit_personal_details
Am I able to do a SWIFT transfer?	top_up_by_bank_transfer_charge
Why has my money disappeared? I topped up earlier and seen it was there and had went through. What seems to be the problem?	top_up_reverted
Where do I pay with my debit or credit card?	card_acceptance
Hi, I tried topping up for the first time today (I'm a new customer), and the transaction has shown as pending for the last half an hour. Can you fix it?	pending_top_up
When I topped up the app has seemed to reverted it.	top_up_reverted
Tell me about the limit for top ups.	top_up_limits
How come I can't find my payment?	reverted_card_payment?
Will I get charged for topping off my card?	top_up_by_card_charge
why hasn't my virtual card come yet?	getting_virtual_card
What should I do if I've tried to enter my PIN too often?	pin_blocked
Why couldn't I complete a transfer?	failed_transfer
Hi, status of one of my card payment is still pending from a while. Please let e know how much time it will take to complete.	pending_card_payment
why is top up pending	pending_top_up
My ATM transaction was cancelled.	declined_cash_withdrawal
Around one or two weeks ago I purchased something but there's seems to be an issue. I have already received one of the items, but today the money was placed back into my account. What is happening?	reverted_card_payment?
Why are there so many fees on my statement?	extra_charge_on_statement
Why would an ATM swallow my card?	card_swallowed
Can my children open an account?	age_limit
My American express is experiencing a problem with apple play with top up, can you fix it?	apple_pay_or_google_pay
I withdrew cash abroad and the exchange rate applied is wrong.	wrong_exchange_rate_for_cash_withdrawal
I paid with card and was charged a fee that shouldn't be there!	card_payment_fee_charged
How much is the charge to top up my card?	top_up_by_card_charge
wheres my money receipt	transfer_not_received_by_recipient
Where can I find out where my funds came from?	verify_source_of_funds
I'm concerned because my cash withdrawal is pending.	pending_cash_withdrawal
What is a pending payment?	pending_card_payment
why was my transfer declined	declined_transfer
This transfer incurred a fee that I don't think is right.	transfer_fee_charged
What is a pending cash withdrawal?	pending_cash_withdrawal
Is there a problem that makes my payments show pending?	pending_card_payment
Can I change my PIN?	change_pin
Please tell me how to edit my personal details.	edit_personal_details
The person I sent money to hasn't gotten it yet!	transfer_not_received_by_recipient
wheres my pin	get_physical_card
Are there any restrictions to where I can use my card?	card_acceptance
I was charged an extra dollar on my account and would like to know the reason.	extra_charge_on_statement
I know that I am able to make transfers for free.  That was something that I valued.  After I bought something online from abroad I noticed that I got charged a fee?  What is this and can it be removed?	transfer_fee_charged
What do I do if I believe to be a victim of credit card fraud?	compromised_card
Will the card be a Mastercard or a Visa?	visa_or_mastercard
Do I get charged if I get money?	top_up_by_bank_transfer_charge
Why am i being double charged for something?	transaction_charged_twice
I'm confused as to why my transfer is still listed as pending on the website.	pending_transfer
In terms of holding and exchange, what fiat currencies do you use.	fiat_currency_support
How long do I have to wait for a US transfer?	transfer_timing
Why did I get charged a fee for my transfer?	transfer_fee_charged
the transfer went through but now it has been pending for quite a while. i need this to go through already	pending_transfer
My address has changed. How do I report it?	edit_personal_details
I was getting cash and the card got stuck inside	card_swallowed
What are the details of disposable card limitations?	disposable_card_limits
How come my disposable virtual card used to pay for a gym subscription got rejected?	virtual_card_not_working
What do I have to do to get a Visa credit card?	visa_or_mastercard
Will you help me unblock my pin after putting in the wrong pin too many times?	pin_blocked
What currencies do you do exchanges for?	fiat_currency_support
When can I expect delivery?	card_delivery_estimate
How long do transfers to international banks take? I made one to france a couple of days ago, but it's still not there.	balance_not_updated_after_bank_transfer
I requested a refund and it is missing.	Refund_not_showing_up
I withdrew  money from the ATM and was overcharged.  It said nothing about an extra fee.	wrong_exchange_rate_for_cash_withdrawal
$1 charge in transaction.	extra_charge_on_statement
How long does it take for pending transfer transactions to post?	pending_transfer
I have used all of my PIN tries. What should I do now?	pin_blocked
i am not a premium customer but i want a virtual card, how do i get it	disposable_card_limits
Can friends transfer money to each other?	receiving_money
I have obtained the salary in GBP, will it need to be configured?	receiving_money
As my kids get older are they able to get set up with their own accounts?	age_limit
Is there a way to see my money's source?	verify_source_of_funds
someone is using my account	compromised_card
How do I receive my physical card	order_physical_card
I put some money in my account the other day but now its gone? Why is this?	top_up_reverted
Where can i exchange between GBP and USD	exchange_via_app
How can I change the currency I'm exchanging from AUD to GBP?	exchange_via_app
I think the atm ate my card.	card_swallowed
I made a transfer from France a couple days ago and don't see the transaction yet. How long does an international transfer take?	balance_not_updated_after_bank_transfer
is it just visa or can i also use mastercard?	visa_or_mastercard
My throwaway virtual card won't work	virtual_card_not_working
how do i see what i transferred	balance_not_updated_after_bank_transfer
I was charged the wing amount for an item.	card_payment_wrong_exchange_rate
Where can I find my card PIN?	get_physical_card
I need a Visa and a Mastercard from you.	visa_or_mastercard
How much is the limit for top-ups?	top_up_limits
I haven't received my virtual card yet!!	getting_virtual_card
My virtual card won't work.	virtual_card_not_working
Hi,  I have transferred money but beneficiary's account is credited with less amount. Now i have transfer the difference of the amount. I think there is some issue, could you please look into this.	transfer_fee_charged
I prefer Mastecard.	visa_or_mastercard
How do I get my virtual card?	getting_virtual_card
